warehouse,carrier,route,orders,average_delay,delayed_orders,delay_rate
Hyderabad-W1,EcomExpress,Regional,11,5.363636363636363,11,100.0
Kolkata-W1,EcomExpress,Regional,18,4.555555555555555,18,100.0
Bengaluru-W1,EcomExpress,West,10,4.4,10,100.0
Kolkata-W1,EcomExpress,East,11,4.363636363636363,11,100.0
Mumbai-W1,EcomExpress,West,11,4.2727272727272725,11,100.0
Kolkata-W1,EcomExpress,North,14,4.0,14,100.0
Delhi-W1,EcomExpress,South,12,3.9166666666666665,12,100.0
Kolkata-W1,EcomExpress,West,12,3.8333333333333335,12,100.0
Mumbai-W1,EcomExpress,North,10,3.7,10,100.0
Kolkata-W1,EcomExpress,South,10,3.6,10,100.0
Bengaluru-W1,EcomExpress,Local,11,3.5454545454545454,11,100.0
Hyderabad-W1,Delhivery,Regional,11,3.272727272727273,11,100.0
Hyderabad-W1,DTDC,Regional,11,3.090909090909091,11,100.0
Delhi-W1,DTDC,Regional,10,3.0,10,100.0
Kolkata-W1,BlueDart,Regional,16,2.5625,16,100.0
Delhi-W1,Delhivery,Regional,13,2.5384615384615383,13,100.0
Bengaluru-W1,DTDC,South,14,2.357142857142857,13,92.85714285714286
Delhi-W1,DTDC,North,11,2.272727272727273,10,90.9090909090909
Bengaluru-W1,DTDC,North,10,2.1,9,90.0
Bengaluru-W1,XpressBees,Regional,10,2.1,10,100.0
Kolkata-W1,XpressBees,North,17,2.0588235294117645,16,94.11764705882352
Delhi-W1,Delhivery,West,10,2.0,8,80.0
Kolkata-W1,XpressBees,South,16,1.9375,12,75.0
Bengaluru-W1,BlueDart,Regional,11,1.9090909090909092,11,100.0
Kolkata-W1,BlueDart,East,10,1.9,8,80.0
Bengaluru-W1,XpressBees,Local,10,1.8,8,80.0
Kolkata-W1,BlueDart,West,10,1.7,6,60.0
Bengaluru-W1,Delhivery,West,12,1.6666666666666667,11,91.66666666666666
Hyderabad-W1,BlueDart,Local,15,1.6666666666666667,11,73.33333333333333
Kolkata-W1,Delhivery,West,11,1.6363636363636365,7,63.63636363636363
Delhi-W1,XpressBees,Local,10,1.6,8,80.0
Bengaluru-W1,XpressBees,South,12,1.5833333333333333,8,66.66666666666666
Hyderabad-W1,Delhivery,South,11,1.5454545454545454,9,81.81818181818183
Hyderabad-W1,Delhivery,West,13,1.4615384615384615,10,76.92307692307693
Kolkata-W1,DTDC,East,11,1.4545454545454546,7,63.63636363636363
Bengaluru-W1,Delhivery,South,11,1.4545454545454546,9,81.81818181818183
Bengaluru-W1,Delhivery,North,10,1.4,6,60.0
Bengaluru-W1,DTDC,Local,13,1.3846153846153846,11,84.61538461538461
Kolkata-W1,Delhivery,East,11,1.3636363636363635,8,72.72727272727273
Hyderabad-W1,DTDC,West,11,1.3636363636363635,7,63.63636363636363
Mumbai-W1,BlueDart,Local,11,1.2727272727272727,8,72.72727272727273
Mumbai-W1,Delhivery,East,16,1.1875,12,75.0
Hyderabad-W1,XpressBees,North,12,1.1666666666666667,9,75.0
Hyderabad-W1,BlueDart,South,13,1.1538461538461537,8,61.53846153846154
Mumbai-W1,DTDC,Local,12,1.0,5,41.66666666666667
