order_id,order_date,warehouse,carrier,route,product_type,day_of_week,season,promised_date,delay_days,actual_delivery_date,delivery_status,warehouse_processing_hours,distance_km,delivery_attempts
O00001,2026-02-02,Kolkata-W1,BlueDart,Local,Home,Tuesday,Festive,2026-02-04,3,2026-02-07,Delayed,25.3,1470.8,1
O00002,2025-07-18,Hyderabad-W1,BlueDart,West,Home,Sunday,Winter,2025-07-21,1,2025-07-22,Delayed,10.6,1533.2,3
O00003,2026-01-26,Kolkata-W1,BlueDart,Regional,Beauty,Tuesday,Summer,2026-01-28,2,2026-01-30,Delayed,33.6,427.6,3
O00004,2026-05-13,Kolkata-W1,XpressBees,North,Beauty,Monday,Spring,2026-05-17,1,2026-05-18,Delayed,9.5,1081.4,1
O00005,2025-06-21,Kolkata-W1,DTDC,East,Home,Sunday,Summer,2025-06-25,4,2025-06-29,Delayed,5.6,1541.3,3
O00006,2025-03-27,Bengaluru-W1,BlueDart,South,Home,Wednesday,Monsoon,2025-04-03,1,2025-04-04,Delayed,3.5,738.7,1
O00007,2026-07-12,Kolkata-W1,Delhivery,South,Electronics,Friday,Monsoon,2026-07-19,0,2026-07-19,On Time,13.1,1678.2,1
O00008,2025-07-05,Mumbai-W1,Delhivery,West,Fashion,Sunday,Festive,2025-07-08,3,2025-07-11,Delayed,6.5,1625.8,1
O00009,2025-06-05,Delhi-W1,XpressBees,Local,Beauty,Thursday,Monsoon,2025-06-11,3,2025-06-14,Delayed,9.5,378.6,1
O00010,2026-05-08,Bengaluru-W1,DTDC,Local,Electronics,Thursday,Monsoon,2026-05-10,2,2026-05-12,Delayed,11.8,469.8,1
O00011,2026-06-05,Mumbai-W1,DTDC,Regional,Fashion,Monday,Summer,2026-06-07,1,2026-06-08,Delayed,4.6,328.9,1
O00012,2025-05-10,Mumbai-W1,DTDC,South,Beauty,Saturday,Winter,2025-05-14,1,2025-05-15,Delayed,10.4,356.9,1
O00013,2025-03-22,Hyderabad-W1,XpressBees,West,Electronics,Saturday,Spring,2025-03-24,1,2025-03-25,Delayed,7.6,1634.6,3
O00014,2026-01-19,Hyderabad-W1,DTDC,North,Sports,Wednesday,Monsoon,2026-01-22,0,2026-01-22,On Time,2.7,1676.4,1
O00015,2025-10-22,Mumbai-W1,DTDC,Local,Sports,Tuesday,Monsoon,2025-10-27,4,2025-10-31,Delayed,12.2,98.2,2
O00016,2025-09-26,Hyderabad-W1,BlueDart,South,Beauty,Tuesday,Summer,2025-10-03,1,2025-10-04,Delayed,13.3,1070.5,1
O00017,2026-07-16,Delhi-W1,DTDC,East,Electronics,Friday,Spring,2026-07-20,1,2026-07-21,Delayed,19.1,1017.8,3
O00018,2026-06-19,Delhi-W1,BlueDart,West,Fashion,Tuesday,Summer,2026-06-26,2,2026-06-28,Delayed,3.6,706.0,1
O00019,2026-01-13,Hyderabad-W1,BlueDart,Regional,Fashion,Saturday,Winter,2026-01-20,2,2026-01-22,Delayed,28.2,1138.9,3
O00020,2026-01-11,Kolkata-W1,DTDC,Local,Electronics,Saturday,Summer,2026-01-18,1,2026-01-19,Delayed,5.0,1705.5,1
O00021,2025-03-29,Mumbai-W1,Delhivery,Local,Sports,Thursday,Spring,2025-04-03,3,2025-04-06,Delayed,1.6,310.6,1
O00022,2025-04-21,Delhi-W1,EcomExpress,North,Electronics,Friday,Spring,2025-04-23,3,2025-04-26,Delayed,8.9,221.1,1
O00023,2026-08-07,Hyderabad-W1,Delhivery,Local,Sports,Wednesday,Monsoon,2026-08-13,2,2026-08-15,Delayed,11.1,64.9,1
O00024,2025-06-03,Hyderabad-W1,DTDC,West,Sports,Friday,Winter,2025-06-10,1,2025-06-11,Delayed,7.8,658.1,1
O00025,2026-04-08,Delhi-W1,DTDC,South,Fashion,Sunday,Festive,2026-04-11,3,2026-04-14,Delayed,3.6,611.0,1
O00026,2026-07-23,Delhi-W1,Delhivery,South,Beauty,Wednesday,Monsoon,2026-07-30,0,2026-07-30,On Time,6.2,778.3,1
O00027,2025-06-05,Kolkata-W1,DTDC,South,Home,Saturday,Summer,2025-06-12,1,2025-06-13,Delayed,10.7,908.4,2
O00028,2025-11-14,Hyderabad-W1,BlueDart,East,Electronics,Tuesday,Summer,2025-11-16,0,2025-11-16,On Time,30.7,1365.3,1
O00029,2026-07-13,Hyderabad-W1,XpressBees,East,Sports,Monday,Spring,2026-07-16,2,2026-07-18,Delayed,3.7,708.8,1
O00030,2025-08-26,Bengaluru-W1,DTDC,Local,Electronics,Friday,Spring,2025-08-28,4,2025-09-01,Delayed,5.6,598.5,2
O00031,2025-11-30,Kolkata-W1,DTDC,East,Beauty,Friday,Spring,2025-12-07,1,2025-12-08,Delayed,3.0,1489.2,3
O00032,2025-04-16,Delhi-W1,Delhivery,East,Beauty,Thursday,Festive,2025-04-18,2,2025-04-20,Delayed,6.6,1530.4,1
O00033,2026-04-27,Delhi-W1,BlueDart,North,Home,Thursday,Festive,2026-04-29,5,2026-05-04,Delayed,8.2,422.8,3
O00034,2026-01-17,Mumbai-W1,Delhivery,East,Home,Saturday,Monsoon,2026-01-21,2,2026-01-23,Delayed,16.1,569.8,2
O00035,2025-09-18,Delhi-W1,Delhivery,Regional,Sports,Wednesday,Festive,2025-09-23,5,2025-09-28,Delayed,10.8,1486.1,1
O00036,2025-10-20,Hyderabad-W1,DTDC,Regional,Home,Monday,Spring,2025-10-26,3,2025-10-29,Delayed,21.0,147.5,1
O00037,2025-12-01,Delhi-W1,BlueDart,Regional,Sports,Sunday,Monsoon,2025-12-06,2,2025-12-08,Delayed,8.5,589.9,1
O00038,2026-04-21,Hyderabad-W1,DTDC,Local,Fashion,Thursday,Monsoon,2026-04-26,2,2026-04-28,Delayed,0.5,809.8,1
O00039,2025-08-13,Hyderabad-W1,DTDC,South,Sports,Thursday,Winter,2025-08-16,0,2025-08-16,On Time,11.2,340.8,1
O00040,2026-07-09,Kolkata-W1,DTDC,North,Home,Tuesday,Festive,2026-07-13,2,2026-07-15,Delayed,2.1,327.9,1
O00041,2026-03-30,Delhi-W1,DTDC,Local,Electronics,Tuesday,Summer,2026-04-03,2,2026-04-05,Delayed,15.8,767.6,1
O00042,2025-10-23,Kolkata-W1,XpressBees,South,Home,Saturday,Summer,2025-10-25,1,2025-10-26,Delayed,8.5,1359.4,3
O00043,2026-07-29,Hyderabad-W1,EcomExpress,North,Beauty,Saturday,Winter,2026-08-03,2,2026-08-05,Delayed,5.4,1513.2,3
O00044,2026-04-08,Delhi-W1,BlueDart,North,Home,Thursday,Spring,2026-04-14,1,2026-04-15,Delayed,3.3,1762.7,2
O00045,2025-08-02,Delhi-W1,XpressBees,North,Fashion,Wednesday,Winter,2025-08-05,0,2025-08-05,On Time,6.0,137.8,1
O00046,2026-08-08,Kolkata-W1,EcomExpress,Regional,Sports,Sunday,Spring,2026-08-12,7,2026-08-19,Delayed,8.2,393.9,3
O00047,2025-06-07,Kolkata-W1,EcomExpress,Regional,Beauty,Monday,Festive,2025-06-09,6,2025-06-15,Delayed,25.8,1363.2,2
O00048,2025-09-29,Hyderabad-W1,EcomExpress,Regional,Sports,Thursday,Festive,2025-10-05,6,2025-10-11,Delayed,7.7,975.4,1
O00049,2025-08-26,Hyderabad-W1,XpressBees,North,Sports,Wednesday,Monsoon,2025-08-31,0,2025-08-31,On Time,10.0,593.2,1
O00050,2025-10-30,Delhi-W1,BlueDart,West,Home,Wednesday,Monsoon,2025-11-05,0,2025-11-05,On Time,8.0,374.0,1
O00051,2026-06-05,Delhi-W1,Delhivery,North,Electronics,Thursday,Monsoon,2026-06-09,4,2026-06-13,Delayed,10.0,508.5,1
O00052,2025-11-17,Bengaluru-W1,EcomExpress,Regional,Beauty,Wednesday,Monsoon,2025-11-20,6,2025-11-26,Delayed,9.6,775.6,1
O00053,2025-02-28,Bengaluru-W1,Delhivery,North,Fashion,Friday,Summer,2025-03-05,1,2025-03-06,Delayed,8.6,323.0,2
O00054,2025-12-24,Mumbai-W1,Delhivery,Regional,Fashion,Wednesday,Monsoon,2025-12-27,1,2025-12-28,Delayed,5.3,1735.8,1
O00055,2025-09-08,Hyderabad-W1,DTDC,Regional,Electronics,Thursday,Monsoon,2025-09-15,4,2025-09-19,Delayed,13.4,198.1,1
O00056,2026-03-12,Mumbai-W1,Delhivery,Regional,Electronics,Wednesday,Monsoon,2026-03-18,3,2026-03-21,Delayed,3.7,1774.1,2
O00057,2025-05-26,Mumbai-W1,DTDC,West,Home,Sunday,Spring,2025-06-01,3,2025-06-04,Delayed,11.9,1516.2,1
O00058,2025-12-18,Kolkata-W1,BlueDart,South,Fashion,Thursday,Monsoon,2025-12-20,1,2025-12-21,Delayed,13.6,764.6,1
O00059,2026-07-24,Kolkata-W1,BlueDart,North,Beauty,Tuesday,Winter,2026-07-29,1,2026-07-30,Delayed,1.7,1333.0,2
O00060,2025-09-02,Bengaluru-W1,DTDC,Local,Electronics,Thursday,Monsoon,2025-09-08,1,2025-09-09,Delayed,3.4,1210.4,3
O00061,2026-07-14,Mumbai-W1,BlueDart,Regional,Electronics,Wednesday,Monsoon,2026-07-18,1,2026-07-19,Delayed,1.9,387.9,2
O00062,2025-10-28,Bengaluru-W1,EcomExpress,West,Electronics,Thursday,Summer,2025-11-04,4,2025-11-08,Delayed,18.6,613.6,1
O00063,2026-03-14,Hyderabad-W1,BlueDart,Local,Beauty,Monday,Monsoon,2026-03-18,2,2026-03-20,Delayed,5.8,926.1,3
O00064,2025-04-10,Delhi-W1,DTDC,South,Fashion,Thursday,Spring,2025-04-13,3,2025-04-16,Delayed,18.0,1149.9,1
O00065,2026-04-25,Kolkata-W1,EcomExpress,North,Beauty,Thursday,Festive,2026-05-02,5,2026-05-07,Delayed,6.8,979.5,1
O00066,2026-02-19,Hyderabad-W1,Delhivery,West,Beauty,Monday,Monsoon,2026-02-26,1,2026-02-27,Delayed,4.0,854.0,2
O00067,2025-06-14,Hyderabad-W1,Delhivery,Regional,Home,Monday,Monsoon,2025-06-18,2,2025-06-20,Delayed,5.1,800.5,2
O00068,2025-10-29,Kolkata-W1,Delhivery,Regional,Electronics,Monday,Monsoon,2025-11-04,2,2025-11-06,Delayed,9.5,899.4,1
