customer_id,customer_name,segment,city,state
C0001,Customer_0001,New,Bengaluru,Karnataka
C0002,Customer_0002,Premium,Mumbai,Tamil Nadu
C0003,Customer_0003,Regular,Hyderabad,Delhi
C0004,Customer_0004,Regular,Chennai,Karnataka
C0005,Customer_0005,New,Delhi,Karnataka
C0006,Customer_0006,New,Howrah,Maharashtra
C0007,Customer_0007,New,Howrah,Karnataka
C0008,Customer_0008,Premium,Delhi,Tamil Nadu
C0009,Customer_0009,Regular,Chennai,Tamil Nadu
C0010,Customer_0010,Regular,Hyderabad,West Bengal
C0011,Customer_0011,New,Delhi,Tamil Nadu
C0012,Customer_0012,Premium,Bengaluru,Tamil Nadu
C0013,Customer_0013,Regular,Bengaluru,Maharashtra
C0014,Customer_0014,New,Howrah,Tamil Nadu
C0015,Customer_0015,New,Mumbai,West Bengal
C0016,Customer_0016,New,Hyderabad,Delhi
C0017,Customer_0017,New,Howrah,Maharashtra
C0018,Customer_0018,Regular,Mumbai,Delhi
C0019,Customer_0019,New,Mumbai,Maharashtra
C0020,Customer_0020,New,Pune,Telangana
C0021,Customer_0021,Regular,Bengaluru,Karnataka
C0022,Customer_0022,New,Chennai,Telangana
C0023,Customer_0023,New,Kolkata,Tamil Nadu
C0024,Customer_0024,New,Chennai,Delhi
C0025,Customer_0025,Regular,Kolkata,Tamil Nadu
C0026,Customer_0026,Regular,Delhi,Karnataka
C0027,Customer_0027,New,Bengaluru,Maharashtra
C0028,Customer_0028,Regular,Mumbai,Karnataka
C0029,Customer_0029,Regular,Hyderabad,West Bengal
C0030,Customer_0030,New,Kolkata,Karnataka
C0031,Customer_0031,Regular,Chennai,West Bengal
C0032,Customer_0032,New,Mumbai,Karnataka
C0033,Customer_0033,New,Kolkata,West Bengal
C0034,Customer_0034,Premium,Kolkata,Delhi
C0035,Customer_0035,Premium,Pune,Tamil Nadu
C0036,Customer_0036,Regular,Kolkata,Tamil Nadu
C0037,Customer_0037,New,Hyderabad,Telangana
C0038,Customer_0038,New,Bengaluru,Tamil Nadu
C0039,Customer_0039,Regular,Hyderabad,Maharashtra
C0040,Customer_0040,New,Howrah,Karnataka
C0041,Customer_0041,New,Mumbai,Telangana
C0042,Customer_0042,Regular,Bengaluru,Maharashtra
C0043,Customer_0043,New,Pune,Maharashtra
C0044,Customer_0044,Premium,Bengaluru,West Bengal
C0045,Customer_0045,New,Bengaluru,Tamil Nadu
C0046,Customer_0046,Regular,Chennai,Delhi
C0047,Customer_0047,New,Bengaluru,Delhi
C0048,Customer_0048,Regular,Pune,Telangana
C0049,Customer_0049,Regular,Hyderabad,Delhi
C0050,Customer_0050,New,Bengaluru,Karnataka
C0051,Customer_0051,Premium,Delhi,Delhi
C0052,Customer_0052,Regular,Mumbai,Telangana
C0053,Customer_0053,Premium,Bengaluru,Delhi
C0054,Customer_0054,Premium,Mumbai,Karnataka
C0055,Customer_0055,Regular,Delhi,West Bengal
C0056,Customer_0056,Premium,Delhi,Telangana
C0057,Customer_0057,New,Mumbai,West Bengal
C0058,Customer_0058,New,Kolkata,West Bengal
C0059,Customer_0059,New,Howrah,West Bengal
C0060,Customer_0060,New,Chennai,Maharashtra
C0061,Customer_0061,New,Kolkata,Tamil Nadu
C0062,Customer_0062,New,Kolkata,Maharashtra
C0063,Customer_0063,Regular,Hyderabad,Tamil Nadu
C0064,Customer_0064,New,Chennai,West Bengal
C0065,Customer_0065,New,Chennai,Telangana
C0066,Customer_0066,Regular,Kolkata,Tamil Nadu
C0067,Customer_0067,New,Bengaluru,Karnataka
C0068,Customer_0068,Regular,Hyderabad,Karnataka
C0069,Customer_0069,New,Hyderabad,Delhi
C0070,Customer_0070,Premium,Delhi,Tamil Nadu
C0071,Customer_0071,Regular,Pune,Telangana
C0072,Customer_0072,New,Chennai,Maharashtra
C0073,Customer_0073,New,Kolkata,West Bengal
C0074,Customer_0074,Regular,Delhi,Delhi
C0075,Customer_0075,Regular,Mumbai,Karnataka
C0076,Customer_0076,Regular,Howrah,Maharashtra
C0077,Customer_0077,Regular,Pune,Maharashtra
C0078,Customer_0078,New,Pune,West Bengal
C0079,Customer_0079,New,Pune,Tamil Nadu
C0080,Customer_0080,New,Hyderabad,Karnataka
C0081,Customer_0081,Premium,Mumbai,Telangana
C0082,Customer_0082,Regular,Pune,Maharashtra
C0083,Customer_0083,New,Mumbai,West Bengal
C0084,Customer_0084,New,Bengaluru,Telangana
C0085,Customer_0085,New,Pune,Tamil Nadu
C0086,Customer_0086,New,Howrah,Karnataka
C0087,Customer_0087,Regular,Mumbai,Tamil Nadu
C0088,Customer_0088,Regular,Mumbai,Maharashtra
C0089,Customer_0089,Premium,Howrah,Telangana
C0090,Customer_0090,Regular,Pune,Telangana
C0091,Customer_0091,New,Howrah,Telangana
C0092,Customer_0092,Regular,Mumbai,Maharashtra
C0093,Customer_0093,Regular,Howrah,Maharashtra
C0094,Customer_0094,Regular,Mumbai,Tamil Nadu
