order_id,order_date,customer_id,product_id,quantity,payment_method,order_status,unit_price,cost_price,gross_amount,refund_amount,revenue,cost,margin
O00001,2025-01-22,C0369,P030,2.0,Cash on Delivery,Delivered,6154.82,4114.48,12309.64,0.0,12309.64,8228.96,4080.68
O00002,2026-04-19,C0432,P062,4.0,Cash on Delivery,Delivered,2068.98,1188.23,8275.92,0.0,8275.92,4752.92,3523.0
O00003,2025-04-30,C0158,P025,4.0,Net Banking,Delivered,1601.59,753.23,6406.36,0.0,6406.36,3012.92,3393.44
O00004,2025-07-29,C0268,P027,1.0,Card,Delivered,7352.79,4560.98,7352.79,0.0,7352.79,4560.98,2791.81
O00005,2025-11-02,C0035,P051,2.0,UPI,Delivered,14740.26,7745.22,29480.52,0.0,29480.52,15490.44,13990.08
O00006,2025-09-27,C0267,P078,3.0,Cash on Delivery,Delivered,13492.31,9504.32,40476.93,0.0,40476.93,28512.96,11963.97
O00007,2025-10-12,C0064,P057,3.0,Card,Delivered,1255.3,644.89,3765.9,0.0,3765.9,1934.67,1831.23
O00008,2025-08-15,C0050,P047,2.0,Cash on Delivery,Delivered,14359.31,8667.35,28718.62,0.0,28718.62,17334.7,11383.92
O00009,2026-01-16,C0255,P039,4.0,Cash on Delivery,Delivered,10818.63,6060.84,43274.52,0.0,43274.52,24243.36,19031.16
O00010,2026-04-05,C0149,P016,4.0,UPI,Delivered,7090.56,3781.92,28362.24,0.0,28362.24,15127.68,13234.56
O00011,2025-01-07,C0325,P022,3.0,,Delivered,1329.44,646.27,3988.32,0.0,3988.32,1938.81,2049.51
O00012,2025-01-29,C0304,P054,3.0,UPI,Delivered,13584.74,8606.48,40754.22,0.0,40754.22,25819.44,14934.78
O00013,2025-02-02,C0276,P021,3.0,Cash on Delivery,Refunded,14009.07,10751.96,42027.21,42027.21,0.0,32255.88,-32255.88
O00014,2025-03-20,C0357,P072,1.0,Cash on Delivery,Delivered,9079.93,6344.33,9079.93,0.0,9079.93,6344.33,2735.6
O00015,2026-04-04,C0172,P016,3.0,Cash on Delivery,Delivered,7090.56,3781.92,21271.68,0.0,21271.68,11345.76,9925.92
O00016,2026-07-24,C0417,P059,1.0,UPI,Delivered,12616.04,7036.26,12616.04,0.0,12616.04,7036.26,5579.78
O00017,2026-06-22,C0201,P031,2.0,Net Banking,Delivered,1647.98,1037.32,3295.96,0.0,3295.96,2074.64,1221.32
O00018,2026-04-27,C0445,P042,4.0,Card,Delivered,13681.98,6634.74,54727.92,0.0,54727.92,26538.96,28188.96
O00019,2026-03-06,C0393,P074,3.0,Net Banking,Delivered,4125.43,2092.99,12376.29,0.0,12376.29,6278.97,6097.32
O00020,2025-10-12,C0324,P032,4.0,Cash on Delivery,Delivered,5244.65,3856.3,20978.6,0.0,20978.6,15425.2,5553.4
O00021,2026-05-31,C0035,P059,4.0,Cash on Delivery,Refunded,12616.04,7036.26,50464.16,50464.16,0.0,28145.04,-28145.04
O00022,2025-04-09,C0216,P034,3.0,Net Banking,Delivered,11064.4,6882.23,33193.2,0.0,33193.2,20646.69,12546.51
O00023,2026-02-01,C0065,P009,3.0,Cash on Delivery,Delivered,8214.5,3816.82,24643.5,0.0,24643.5,11450.46,13193.04
O00024,2026-05-04,C0008,P011,2.0,Card,Delivered,11146.48,5146.21,22292.96,0.0,22292.96,10292.42,12000.54
