product_id,product_name,category,unit_price,cost_price
P001,Product_001,Sports,8541.95,5952.01
P002,Product_002,Electronics,7371.61,3402.04
P003,Product_003,Fashion,13309.48,9919.88
P004,Product_004,Beauty,8094.9,5940.38
P005,Product_005,Beauty,6783.17,4076.36
P006,Product_006,Home,6245.94,3616.94
P007,Product_007,Home,8714.69,4706.6
P008,Product_008,Beauty,12118.46,7359.58
P009,Product_009,Home,8214.5,3816.82
P010,Product_010,Electronics,10026.33,7331.49
P011,Product_011,Home,11146.48,5146.21
P012,Product_012,Sports,7946.47,4438.79
P013,Product_013,Home,6574.21,4979.47
P014,Product_014,Fashion,13186.98,9133.57
P015,Product_015,Electronics,6437.34,3494.57
P016,Product_016,Fashion,7090.56,3781.92
P017,Product_017,Fashion,14858.02,6711.03
P018,Product_018,Sports,303.49,206.25
P019,Product_019,Electronics,3026.45,1410.62
P020,Product_020,Electronics,5944.27,3719.68
P021,Product_021,Electronics,14009.07,10751.96
P022,Product_022,Electronics,1329.44,646.27
P023,Product_023,Electronics,439.44,327.46
P024,Product_024,Sports,1074.45,835.05
P025,Product_025,Home,1601.59,753.23
P026,Product_026,Fashion,852.67,632.13
P027,Product_027,Electronics,7352.79,4560.98
P028,Product_028,Home,8837.13,6620.33
P029,Product_029,Home,4293.8,2741.74
P030,Product_030,Fashion,6154.82,4114.48
P031,Product_031,Sports,1647.98,1037.32
P032,Product_032,Beauty,5244.65,3856.3
P033,Product_033,Beauty,7981.03,5524.39
P034,Product_034,Home,11064.4,6882.23
P035,Product_035,Fashion,349.19,257.18
P036,Product_036,Beauty,7169.47,3806.59
P037,Product_037,Home,4665.94,2341.94
P038,Product_038,Sports,12836.48,6455.88
P039,Product_039,Beauty,10818.63,6060.84
P040,Product_040,Home,8959.9,4737.71
P041,Product_041,Home,4375.8,3312.17
P042,Product_042,Electronics,13681.98,6634.74
P043,Product_043,Sports,962.98,655.47
P044,Product_044,Electronics,1909.17,978.34
P045,Product_045,Fashion,6056.96,4487.85
P046,Product_046,Electronics,2129.23,1633.62
P047,Product_047,Electronics,14359.31,8667.35
P048,Product_048,Beauty,12030.44,8903.65
P049,Product_049,Home,4107.04,1855.14
P050,Product_050,Sports,8951.75,6450.47
P051,Product_051,Electronics,14740.26,7745.22
P052,Product_052,Sports,13297.72,9971.58
P053,Product_053,Electronics,9131.74,4112.66
P054,Product_054,Fashion,13584.74,8606.48
P055,Product_055,Electronics,14841.02,10384.11
P056,Product_056,Beauty,11227.29,6010.72
P057,Product_057,Home,1255.3,644.89
P058,Product_058,Fashion,6203.23,2963.61
P059,Product_059,Electronics,12616.04,7036.26
P060,Product_060,Sports,3689.37,2341.82
P061,Product_061,Fashion,12510.45,6107.96
P062,Product_062,Fashion,2068.98,1188.23
P063,Product_063,Electronics,990.1,448.51
P064,Product_064,Fashion,5946.13,4282.19
P065,Product_065,Sports,839.96,413.59
P066,Product_066,Fashion,14371.87,7811.16
P067,Product_067,Sports,12445.22,5676.03
P068,Product_068,Electronics,12071.31,7153.93
P069,Product_069,Home,9557.74,6950.77
P070,Product_070,Fashion,3479.96,2016.32
P071,Product_071,Home,7918.43,4032.33
P072,Product_072,Sports,9079.93,6344.33
P073,Product_073,Fashion,8017.96,5695.21
P074,Product_074,Beauty,4125.43,2092.99
P075,Product_075,Home,7874.14,5546.4
P076,Product_076,Fashion,7520.44,5735.15
P077,Product_077,Home,14946.14,7546.37
P078,Product_078,Fashion,13492.31,9504.32
P079,Product_079,Electronics,7111.7,4863.19
P080,Product_080,Home,9457.18,5733.69
