employee_id,department,role,age_band,tenure_years,compensation_band,performance_rating,monthly_overtime_hours,remote_days_per_month,job_satisfaction,attrition_probability,exit_status
E0001,Operations,Executive,36-45,2.2,High,2.4,8,16,5,0.1,Active
E0002,Marketing,Analyst,26-35,6.8,Medium,2.1,7,6,3,0.1,Active
E0003,Finance,Associate,18-25,1.7,High,2.4,7,12,3,0.1,Active
E0004,Sales,Executive,26-35,2.5,Very High,3.8,12,15,5,0.1,Active
E0005,Marketing,Manager,26-35,0.2,Low,2.5,8,4,4,0.2,Active
E0006,Finance,Developer,18-25,0.1,Low,3.2,6,3,4,0.2,Active
E0007,Operations,Executive,36-45,0.9,Very High,1.4,10,9,3,0.16,Exited
E0008,HR,Associate,36-45,3.7,Very High,4.2,11,12,4,0.1,Exited
E0009,HR,Executive,36-45,0.4,Low,2.5,10,9,4,0.2,Exited
E0010,Sales,Analyst,46-55,0.4,Low,3.6,9,13,4,0.2,Active
E0011,HR,Specialist,46-55,1.7,Low,3.9,10,21,2,0.18,Active
E0012,Finance,Executive,46-55,3.3,Very High,1.8,13,11,1,0.14,Active
E0013,Sales,Manager,26-35,4.0,Low,4.5,8,0,3,0.14,Exited
E0014,Marketing,Executive,18-25,0.6,Medium,3.5,7,20,3,0.16,Active
E0015,Operations,Developer,26-35,0.3,High,2.7,11,19,2,0.2,Active
E0016,Sales,Executive,46-55,9.0,Low,,13,19,1,0.18,Active
E0017,Marketing,Specialist,56+,1.0,Medium,4.8,13,6,1,0.14,Active
E0018,Sales,Analyst,46-55,6.1,Medium,4.0,8,8,2,0.14,Exited
E0019,IT,Executive,18-25,6.4,High,1.8,9,7,5,0.1,Active
E0020,IT,Manager,46-55,4.7,Medium,2.4,10,12,5,0.1,Exited
E0021,Sales,Associate,26-35,0.6,High,4.2,10,13,1,0.2,Active
E0022,HR,Executive,18-25,5.5,High,3.8,11,11,5,0.1,Active
E0023,IT,Executive,26-35,4.7,Low,4.1,9,7,5,0.14,Exited
E0024,Operations,Developer,18-25,2.9,Low,2.8,7,20,5,0.14,Exited
E0025,Marketing,Manager,26-35,1.3,Medium,3.9,6,21,1,0.14,Active
E0026,Finance,Specialist,26-35,1.0,Medium,2.5,9,17,5,0.1,Active
E0027,IT,Associate,26-35,0.4,High,1.8,12,15,3,0.16,Active
E0028,Sales,Analyst,36-45,2.3,High,3.5,8,10,1,0.14,Active
E0029,HR,Executive,46-55,2.8,Medium,4.9,7,15,2,0.14,Active
E0030,Finance,Specialist,36-45,1.4,Medium,2.2,10,13,5,0.1,Exited
E0031,Marketing,Associate,26-35,2.1,Medium,2.8,6,2,4,0.1,Active
