,month,total_orders,delayed_orders,average_delay,on_time_rate
0,2025-01,49,41,2.183673469387755,16.3265306122449
1,2025-02,43,36,2.255813953488372,16.27906976744186
2,2025-03,67,59,2.5671641791044775,11.940298507462686
3,2025-04,56,51,2.8392857142857144,8.928571428571429
4,2025-05,67,53,2.0,20.8955223880597
5,2025-06,51,48,2.4313725490196076,5.88235294117647
6,2025-07,54,46,2.2222222222222223,14.814814814814813
7,2025-08,73,64,2.4794520547945207,12.32876712328767
8,2025-09,60,52,1.9166666666666667,13.333333333333334
9,2025-10,64,57,2.4375,10.9375
10,2025-11,54,41,2.111111111111111,24.074074074074073
11,2025-12,47,38,2.0851063829787235,19.148936170212767
12,2026-01,62,56,2.7580645161290325,9.67741935483871
13,2026-02,75,58,2.2133333333333334,22.666666666666664
14,2026-03,59,51,2.3220338983050848,13.559322033898304
15,2026-04,68,59,2.073529411764706,13.23529411764706
16,2026-05,67,57,2.1940298507462686,14.925373134328357
17,2026-06,49,42,2.163265306122449,14.285714285714285
18,2026-07,68,56,2.2205882352941178,17.647058823529413
19,2026-08,67,59,2.4328358208955225,11.940298507462686
